FINANCIAL,2007 2006,2004 2003 2002,2001 2000,1999 1998,1997 1996 1995,,1994,1993 1992,,1991
Earnings (K million),,,,,,,,,,
Net sales revenue and other income*****,8.3 7.9,7.4 16.1 11.7,13.0 19.6,18.3 12.4,6.1 10.7 5.5,,2.2,1.7 2.2,,3.3
Operating and other expenses****,4.9 4.4,5.0 4.7 4.1,4.6 3.8,4.8 5.2,4.8 5.0 4.9,,3.6,4.1 5.1,,316.6
Depreciation*****,- -,- - -,- -,- -,- - -,,-,- -,,-
Earnings/(loss) before taxation and exchange gains,3.4 3.5,2.4 11.4 7.6,8.4 15.8,13.5 7.2,1.4 5.7 0.6,,(1.4),(2.4) (2.9),,(313.3)
Exchange gains/(losses),0.2 0.2,(0.4) 3.1 0.3,- -,0.4 0.5,- - 6.6,,9.2,(0.3) 1.5,,0.1
Earnings/(loss) before taxation,3.6 3.7,2.0 14.5 7.9,8.4 15.8,13.9 7.7,1.4 5.7 7.2,,7.8,(2.7) (1.4),,(313.2)
Income tax,- -,- - -,- -,- -,- - -,,-,- -,,-
Additional profits tax,- -,- - -,- -,- -,- - -,,-,- -,,-
Net earnings/(loss),3.6 3.7,2.0 14.5 7.9,8.4 15.8,13.9 7.7,1.4 5.7 7.2,,7.8,(2.7) (1.4),,(313.2)
Dividends paid,- -,- - 8.0,- -,- -,- - -,,-,- -,,-
Earnings/(losses) retained,3.6 3.7,2.0 14.5 (0.1),8.4 15.8,13.9 7.7,1.4 5.7 7.2,,7.8,(2.7) (1.4),,(313.2)
Balance Sheet (K million),,,,,,,,,,
"Property, plant & equipment",197.9 197.9,197.9 197.9 197.9,197.9 197.9,197.9 198.6,200.1 200.6 200.7,,200.7,200.8 201.4,,201.5
Investments and loans,204.7 176.6,128.2 121.2 18.9,3.1 -,- -,- - -,,-,- -,,-
Current and other non-current assets,36.1 38.7,31.7 31.4 119.4,135.4 131.0,114.4 100.7,87.7 85.4 76.0,,65.6,56.2 56.8,,56.5
Total assets,438.7 413.2,357.8 350.5 336.2,336.4 328.9,312.3 299.3,287.8 286.0 276.7,,266.3,257.0 258.2,,258.0
Shareholders’ funds,404.0 378.2,323.3 316.1 301.6,301.8 293.3,277.5 263.6,255.9 254.5 248.8,,241.6,233.8 236.4,,237.9
Exchange fluctuation,- -,- - -,- -,- -,- - -,,-,- -,,-
Long term liabilities,33.6 33.7,33.4 33.4 33.4,33.4 33.4,33.5 35.3,6.8 6.8 6.8,,6.8,6.8 6.8,,6.8
Current liabilities,1.1 1.3,1.1 1.0 1.2,1.2 2.2,1.3 0.4,25.1 24.7 21.1,,17.9,16.4 15.0,,13.3
Funds employed,438.7 413.2,357.8 350.5 336.2,336.4 328.9,312.3 299.3,287.8 286.0 276.7,,266.3,257.0 258.2,,258.0
PRODUCTION / SALES,,,,,,,,,,
Mined,,,,,,,,,,
Ore and waste removed,(millions of tonnes) - -,- - -,- -,- -,- - -,,-,- -,,-
Ore milled,(millions of tonnes) - -,- - -,- -,- -,- - -,,-,- -,,-
Ore grade,,,,,,,,,,
Copper,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
Gold,(grams/tonne) - -,- - -,- -,- -,- - -,,-,- -,,-
Produced,,,,,,,,,,
Concentrate,(thousands of dry tonnes) - -,- - -,- -,- -,- - -,,-,- -,,-
Contained copper,(thousands of dry tonnes) - -,- - -,- -,- -,- - -,,-,- -,,-
Concentrate grade,,,,,,,,,,
Copper,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
Gold,(grams/tonne) - -,- - -,- -,- -,- - -,,-,- -,,-
Silver,(grams/tonne) - -,- - -,- -,- -,- - -,,-,- -,,-
Shipped,,,,,,,,,,
Total concentrate,(thousands of dry tonnes) - -,- - -,- -,- -,- - -,,-,- -,,-
Destination:,,,,,,,,,,
Japan,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
Other Asian,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
Europe,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
All Other,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,-
Values,,,,,,,,,,
Gross concentrate sales value (before treatment,,,,,,,,,,
"and refining charges, freight, etc.)",(K million) - -,- - -,- -,- -,- - -,,-,- -,,
Contribution by:,,,,,,,,,,
Copper,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,
Gold,(per cent) - -,- - -,- -,- -,- - -,,-,- -,,
OTHER,,,,,,,,,,
US$/Kina exchange rate,0.3636 0.3344,0.33 0.30 0.25,0.26 0.36,0.39 0.48,0.69 0.76 0.79,,1.01,1.02 1.04,,1.05
Average metal prices,,,,,,,,,,
LME copper,(USc/lb) 323.66 305.50,130.01 79.95 70.65,66.2 82.1,71.4 75.2,105.6 104.0 133.1,,105.0,87.0 103.0,,106.0
London gold market,(US$/oz) 691.00 602.00,409.55 363.89 310.14,276.5 280.0,280.0 294.0,335.3 387.0 384.5,,384.0,360.0 344.0,,362.2
Return on shareholders’ funds,(per cent) 0.888 0.967,0.60 4.6 2.6,2.8 5.4,5.0 2.9,0.5 2.2 2.9,,3.2,- -,,-
SSSEarnings per share,(toea) 0.895 0.912,0.50 3.61 1.96,2.10 3.93,3.5 1.9,0.3 1.4 1.8,,1.9,- -,,-
SSSDividends per fully paid share,(par value K1.00) (toea) - -,- - 2,- -,- -,- - -,,-,- -,,-
Number of shares issued at end of year,(millions) 401 401,401 401 401,401 401,401 401,401 401 401,,401,401 401,,401
Number of shareholders at end of year,- 15 698,16 072 16 374 16 519,16 812 17 021,17 260 18 183,18 182 18 041 18 452,,18 765,19 189 19 851,,19 982
Debt/equity ratio,- -,- - -,- -,- -,- - -,,-,- -,,-
Workforce at end of year,,,,,,,,,,
Overseas,- -,- - -,- -,- -,- - -,,-,- 1,,6
National,- -,- - -,- -,- -,- - -,,-,- 1,,6
